Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,10.082600,10.213200,9.011570,9.161980,6.683801,140851260
2014-02-01,9.161980,9.821490,8.737190,9.537190,6.957523,120359305
2014-03-01,9.537190,10.710700,9.396690,10.614900,7.743730,75768385
2014-04-01,10.586800,11.038000,10.166900,10.843000,8.022852,86510160
2014-05-01,10.843000,11.537200,10.786800,11.247900,9.039526,86539200
2014-06-01,11.176900,12.178500,10.958700,11.702500,9.404872,83538400
2014-07-01,11.771900,12.274400,11.261200,11.322300,9.208239,82800300
2014-08-01,11.322300,12.727300,11.181800,12.694200,10.323983,80465000
2014-09-01,12.768600,12.768600,11.014900,11.748800,9.555106,101632740
2014-10-01,11.543800,12.542100,10.808300,12.264500,10.098468,103863980
2014-11-01,12.178500,12.805000,11.629800,12.636400,10.404687,59732860
2014-12-01,12.231400,12.727300,11.562000,12.639700,10.407404,17523341
2015-01-01,12.639700,12.661200,11.555400,11.652900,9.709856,106542315
2015-02-01,11.738800,14.008300,11.565300,13.899200,11.581603,115242215
2015-03-01,13.852900,15.064500,13.295900,15.005000,12.503018,117091700
2015-04-01,15.109100,17.413200,14.917400,17.363600,14.661915,86175595
2015-05-01,17.363600,19.254499,17.024799,17.694201,15.881082,85242080
2015-06-01,17.694201,110.790001,17.338800,109.800003,98.548820,98833600
2015-07-01,18.809900,114.699997,17.107401,107.800003,97.850479,87348840
2015-08-01,17.828100,108.339996,15.256200,105.099998,95.399689,130678135
2015-09-01,15.824800,97.790001,14.843000,18.770000,17.037603,110515592
2015-10-01,15.272700,18.500000,14.851200,18.500000,16.842709,109587731
2015-11-01,15.289300,16.735500,14.396700,14.462800,13.167174,88808797
2015-12-01,14.471100,15.553700,13.925600,14.132200,12.866190,102542902
